,id_componente,codigo,nome,departamento
18509,52661,IMD0023.1,PRÁTICAS DE FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO,INSTITUTO METROPOLE DIGITAL
18510,52662,IMD0024,CÁLCULO DIFERENCIAL E INTEGRAL I,INSTITUTO METROPOLE DIGITAL
18511,52663,IMD0031,REDES DE COMPUTADORES,INSTITUTO METROPOLE DIGITAL
18512,52664,IMD0033,PROBABILIDADE,INSTITUTO METROPOLE DIGITAL
18513,52665,IMD0034,VETORES E GEOMETRIA ANALÍTICA,INSTITUTO METROPOLE DIGITAL
18514,52666,IMD0036,SISTEMAS OPERACIONAIS,INSTITUTO METROPOLE DIGITAL
18515,52667,IMD0301,ESPECIFICAÇÃO E MODELAGEM DE SISTEMAS EMBARCADOS,INSTITUTO METROPOLE DIGITAL
18516,52668,IMD0302,CIRCUITOS ELETRÔNICOS,INSTITUTO METROPOLE DIGITAL
18517,52669,IMD0303,REDES DE SENSORES,INSTITUTO METROPOLE DIGITAL
18518,52670,IMD0306,PROJETO DE SISTEMAS DIGITAIS I,INSTITUTO METROPOLE DIGITAL
18519,52671,IMD0307,SISTEMAS HÍBRIDOS,INSTITUTO METROPOLE DIGITAL
18520,52672,IMD0308,SISTEMAS EMBARCADOS DE TEMPO REAL,INSTITUTO METROPOLE DIGITAL
18521,52673,IMD0309,INSTRUMENTAÇÃO ELETROELETRÔNICA,INSTITUTO METROPOLE DIGITAL
18522,52674,IMD0310,GERENCIAMENTO DE FLUXO DE PROJETOS,INSTITUTO METROPOLE DIGITAL
18523,52675,IMD0312,DESENVOLVIMENTO EM PLATAFORMAS ESPECÍFICAS,INSTITUTO METROPOLE DIGITAL
18524,52676,IMD0313,TESTES DE CIRCUITOS,INSTITUTO METROPOLE DIGITAL
18525,52677,IMD0314,SENSORES INTELIGENTES,INSTITUTO METROPOLE DIGITAL
18526,52678,IMD0315,CONTROLE DIGITAL,INSTITUTO METROPOLE DIGITAL
18527,52679,IMD0316,PROTOTIPAÇÃO DE CIRCUITOS IMPRESSOS,INSTITUTO METROPOLE DIGITAL
18528,52680,IMD0402,DESIGN DE SOFTWARE I,INSTITUTO METROPOLE DIGITAL
18529,52681,IMD0411,INTRODUÇÃO À GOVERNANÇA E GESTÃO DE TI,INSTITUTO METROPOLE DIGITAL
18530,52682,IMD0406,PROTOCOLO E SERVIÇOS DE INTERNET,INSTITUTO METROPOLE DIGITAL
18531,52683,IMD0407,DESIGN DE SOFTWARE II,INSTITUTO METROPOLE DIGITAL
18532,52684,IMD0408,PROCESSOS DE SOFTWARE,INSTITUTO METROPOLE DIGITAL
18533,52685,IMD0405,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,INSTITUTO METROPOLE DIGITAL
18534,52686,IMD0415,GESTÃO DE INFRAESTRUTURA DE TI,INSTITUTO METROPOLE DIGITAL
18535,52687,IMD0416,SEGURANÇA DA INFORMAÇÃO,INSTITUTO METROPOLE DIGITAL
18536,52688,IMD0417,GESTÃO DE PROJETOS DE SOFTWARE,INSTITUTO METROPOLE DIGITAL
18537,52689,IMD0501,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL,INSTITUTO METROPOLE DIGITAL
18538,52690,IMD0502,PROCESSO DE DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL,INSTITUTO METROPOLE DIGITAL
18539,52691,IMD0503,LEVANTAMENTO E MODELAGEM DE REQUISITOS,INSTITUTO METROPOLE DIGITAL
