,id_componente,codigo,nome,unidade_responsavel,id_curriculo,tipo_vinculo_componente
116,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
117,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
118,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
119,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
120,26917,DIM0092,TOPICOS ESPECIAIS EM COMPUTACAO III,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
121,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
122,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
123,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
124,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
125,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
126,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
127,26918,DIM0093,TOPICOS ESPECIAIS EM COMPUTACAO IV,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
128,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
129,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
130,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
131,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
132,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
133,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
134,26919,DIM0094,TOPICOS ESPECIAIS EM COMPUTACAO V,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
135,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
136,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
137,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
138,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
139,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
140,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
141,26920,DIM0095,TOPICOS ESPECIAIS EM COMPUTACAO VI,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
